"2389674","clinical use"
"2389674","health care information systems"
"2389674","snomed ct"
"2389674","synonyms"
"2389674","terminology"
"2508197","content management system"
"2508197","crawling"
"2508197","web application"
"2508197","web applications"
"2508197","web archiving"
"2508197","web services"
"2390142","clustering"
"2390142","clustering and classification"
"2390142","community detection"
"2390142","computing / technology policy"
"2390142","crisis events"
"2390142","document filtering"
"2390142","information extraction"
"2390142","online social media"
"2063784","database query processing"
"2063784","database query processing and optimization (theory)"
"2063784","performance"
"2063784","selectivity estimation"
"2063784","sparql query processing"
"2665997","churn prediction"
"2665997","data mining"
"2665997","social network analysis"
"2665997","social tie strength"
"238369","database design and models"
"238369","design"
"238369","earth and atmospheric sciences"
"238369","military"
"238369","performance"
"238369","standardization"
"221600","database management system engines"
"221600","expert systems"
"221600","information systems applications"
"221600","knowledge representation and reasoning"
"221600","measurement"
"221600","perception"
"221600","performance"
"221600","theorem proving algorithms"
"266913","data management systems"
"266913","design"
"266913","management"
"266913","performance"
"266913","probabilistic reasoning"
"266913","theory"
"266913","vagueness and fuzzy logic"
"956890","algorithms"
"956890","cross language information retrieval"
"956890","design"
"956890","experimentation"
"956890","information retrieval"
"956890","languages"
"956890","named entities"
"956890","out of vocabulary words"
"956890","performance"
"956890","statistical transliteration"
"2398467","data mining"
"2398467","data mining"
"2398467","linked data"
"2398467","ontology engineering"
"2063801","algorithms"
"2063801","apriori"
"2063801","functional dependency"
"2063801","information systems applications"
"2063801","key discovery"
"2063801","unique"
"2661884","algorithms"
"2661884","functional dependency"
"2661884","information systems"
"2661884","lattice traversal"
"1458560","algorithms"
"1458560","experimentation"
"1458560","folkrank"
"1458560","folksonomies"
"1458560","grank"
"1458560","groupme!"
"1458560","hits"
"1458560","information systems applications"
"1458560","linked data"
"1458560","measurement"
"1458560","moat"
"1458560","ranking"
"1458560","search"
"1458560","semantic web"
"1458560","social media"
"1458316","algorithms"
"1458316","experimentation"
"1458316","folksonomies"
"1458316","groupme!"
"1458316","information retrieval"
