"81316488793","Minghung  Hsu","2004","2011","7","31","4.43"
"81321490410","Alvin  Cheung","2006","2014","14","49","3.50"
"81100237344","Herman  Lam","1974","2015","62","251","4.05"
"81548707556","Zhe  He","2012","2013","2","2","1.00"
"81100512614","Jianming  Lv","2004","2012","8","11","1.38"
"81453620688","Pramod Anantharam","2009","2015","8","11","1.38"
"81372592181","Mihir R Shah","2008","2008","1","0","0.00"
"81100637390","Brian  Wingenroth","2002","2002","1","2","2.00"
"81314494488","David  McCurry","2006","2006","1","0","0.00"
"81100419711","Michael Howard Halper","1992","2015","32","142","4.44"
"81472649892","Mingqi  Lv","2010","2015","8","23","2.88"
"81100142789","Javier A Arroyo-Figueroa","1995","1998","3","10","3.33"
"81372590678","Hefeng  Su","2008","2008","1","0","0.00"
"81100173160","Armando  Solar-Lezama","2005","2015","26","364","14.00"
"81350589211","Hsinhsi  Chen","1986","2015","100","626","6.26"
"82259008657","Jisun An","2013","2014","6","6","1.00"
"81100406381","Mark S Patton","2001","2010","5","5","1.00"
"81314494435","Harlan  Onsrud","2006","2006","2","0","0.00"
"81372592331","Saurabh  Tiwari","2008","2008","1","0","0.00"
"81100471562","Tsaefeng  Yu","1995","1998","4","10","2.50"
"81435594479","Gencai  Chen","2005","2015","59","169","2.86"
"81100321728","Chihming  Hsu","2008","2011","3","7","2.33"
"83358650557","Abdullah Almaatouq","2013","2014","3","1","0.33"
"81100092270","Samuel Ross Madden","2001","2015","142","6143","43.26"
"81100387913","Tim  DiLauro","2001","2015","7","6","0.86"
"81314495250","Kenton  Williams","2006","2006","1","0","0.00"
"81100454230","Yehoshua  Perl","1978","2015","71","413","5.82"
"81100353006","Zhidong  Yang","1995","1996","2","10","5.00"
"81100320806","Jialien  Hsu","1998","2002","5","79","15.80"
"81474680163","Yanfei  Lv","2010","2013","5","11","2.20"
"89758725857","Ahmad  Alabdulkareem","2014","2014","2","0","0.00"
"81100557538","Charles F Wiecha","1986","2012","19","93","4.89"
"81311483103","Mc C Schraefel","1998","2015","88","801","9.10"
"81435611712","Gai  Elhanan","2004","2014","9","31","3.44"
"81100460281","David  Cheung","1994","2015","102","1419","13.91"
"99658658114","Xing  Su","2014","2014","2","0","0.00"
"81100406488","Andrew  Clement","1983","2014","34","181","5.32"
"81474679395","Xuexuan  Chen","2010","2014","5","11","2.20"
"81452598203","Chihchin  Liu","1996","2002","6","100","16.67"
"81477643839","Mariam  Nouh","2010","2015","7","1","0.14"
"81464640457","Kyle Williams","2010","2012","7","8","1.14"
"81501675901","Muhammad  Faheem","2012","2015","4","6","1.50"
"81537661856","Bo  Zhou","1999","2001","5","22","4.40"
"99658634216","Hanghang  Tong","2014","2015","10","10","1.00"
"81442619555","Rahul P Akolkar","2005","2012","7","6","0.86"
"81100051779","Donald Alvin Byrd","1984","2006","10","134","13.40"
"84458702157","Jing  Li","2013","2014","2","2","1.00"
"81435600437","Todd C Will","2009","2009","1","0","0.00"
